name,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket,undp,perundp,rev,profit,gpr,npr,holders,code
晶方科技,半导体,江苏,128.90,1.75,2.34,209378.34,100171.70,84180.99,92730.70,3.96,0.05,7.76,2.97,20140210,63933.35,2.73,7.00,-55.09,30.24,7.40,22528.00,603005
荣盛发展,全国地产,河北,13.92,38.92,43.48,19772244.00,18594572.00,269763.69,439816.91,1.01,0.14,6.47,1.19,20070808,1536341.63,3.53,36.67,31.13,34.60,8.60,100593.00,002146
数源科技,综合类,浙江,104.70,3.11,3.12,376438.78,302609.00,1981.50,47205.76,1.51,0.02,3.33,2.32,19990507,22165.71,0.71,28.42,11.93,9.35,1.86,32651.00,000909
福建水泥,水泥,福建,8.57,3.82,3.82,391181.47,63775.96,214857.52,21390.35,0.56,0.23,1.79,4.34,19940103,-32574.55,-0.85,41.57,298.63,29.57,17.19,45874.00,600802
友邦吊顶,家居用品,浙江,60.45,0.26,0.88,138253.80,62992.85,8730.74,44984.65,5.13,0.13,12.90,2.43,20140128,51708.00,5.90,32.37,-34.30,40.56,9.64,7200.00,002718
兔 宝 宝,其他建材,浙江,31.25,7.26,8.62,267881.91,181184.06,26471.94,60064.65,0.70,0.07,2.14,3.73,20050510,61715.78,0.72,-3.30,15.35,19.96,8.42,64830.00,002043
九华旅游,旅游景点,安徽,22.04,1.11,1.11,121833.45,32223.00,62659.28,33329.37,3.01,0.54,9.65,2.49,20150326,55638.55,5.03,0.82,1.19,51.60,24.44,12028.00,603199
永太科技,化工原料,浙江,19.20,5.25,8.20,591526.94,218620.25,148342.06,101489.05,1.24,0.10,3.37,2.38,20091222,87533.13,1.07,16.71,-47.81,30.13,13.95,70835.00,002326
大连圣亚,旅游服务,辽宁,0.00,1.29,1.29,123894.57,37526.64,19650.07,19775.53,1.54,-0.07,3.34,7.31,20020711,11051.49,0.86,-6.01,6.61,32.79,-21.25,7163.00,600593
青海春天,医疗保健,青海,29.52,2.12,6.31,249240.80,185135.23,10409.28,18960.80,0.30,0.07,3.73,2.18,20010508,142785.31,2.26,-16.11,14.50,22.91,43.41,47416.00,600381
五矿发展,商贸代理,北京,97.32,10.72,10.72,2448145.75,2082173.75,130185.81,417867.06,3.90,0.02,7.05,1.17,19970528,-117025.70,-1.09,-6.19,144.73,3.56,0.22,73781.00,600058
柏堡龙,服饰,广东,24.02,1.54,2.40,279129.59,191494.75,15781.49,145971.88,6.07,0.17,9.25,1.79,20150626,44445.64,1.85,0.09,0.80,31.39,17.86,10436.00,002776
清水源,化工原料,河南,18.38,1.27,2.18,328115.53,190145.13,28762.39,64222.71,2.94,0.23,5.71,2.95,20150423,34256.23,1.57,165.07,453.70,37.85,15.16,11808.00,300437
金诚信,建筑施工,北京,16.46,5.85,5.85,570449.50,427661.94,101610.61,160512.06,2.74,0.13,6.64,1.27,20150630,153361.13,2.62,21.04,42.78,28.99,11.83,31981.00,603979
宇顺电子,元器件,深圳,0.00,2.60,2.80,73326.97,28262.93,36181.78,170527.73,6.08,-0.04,1.64,5.18,20090903,-154250.77,-5.50,-28.16,46.89,16.04,-16.36,20000.00,002289
