code,name,mbrg,nprg,nav,targ,epsg,seg
600297,广汇汽车,20.32,21.15,48.03,11.13,-20.68,42.85
000887,中鼎股份,25.24,21.02,16.70,10.16,19.23,17.17
600598,北大荒,11.53,20.99,3.50,4.52,18.25,3.62
300740,御家汇,42.14,20.97,7.37,10.99,-1.96,6.95
603768,常青股份,2.53,20.96,8.60,12.26,-8.89,8.60
002472,双环传动,36.06,20.88,13.22,75.96,14.29,11.48
601997,贵阳银行,15.29,20.70,17.91,17.31,21.43,18.33
603096,新经典,6.31,20.69,116.93,114.82,-10.87,123.12
601186,中国铁建,6.97,20.66,22.63,6.49,18.87,15.87
601989,中国重工,-41.93,20.65,44.63,6.80,-13.33,47.61
603289,泰瑞机器,27.75,20.58,7.37,10.99,-9.09,6.95
600380,健康元,9.08,20.58,40.96,25.74,17.77,31.49
600761,安徽合力,19.85,20.56,6.34,8.89,7.14,5.79
600438,通威股份,24.05,20.55,16.44,18.25,20.61,14.28
603345,安井食品,18.93,20.53,9.96,8.46,0.00,9.96
601789,宁波建工,31.92,20.50,10.71,9.80,23.61,6.26
000333,美的集团,16.70,20.49,18.11,11.80,19.40,20.89
600276,恒瑞医药,21.70,20.48,24.19,23.52,-4.24,24.19
600970,中材国际,15.29,20.46,9.78,9.51,11.11,10.55
603009,北特科技,17.03,20.45,25.04,42.70,-51.87,26.31
300239,东宝生物,28.76,20.44,1.67,23.64,20.16,1.67
002415,海康威视,32.95,20.39,24.78,17.70,-18.78,24.91
002871,伟隆股份,3.14,20.36,101.68,82.04,-9.52,101.68
002903,宇环数控,35.92,20.33,7.37,10.99,-20.00,6.95
000581,威孚高科,-2.66,20.33,15.23,16.97,21.88,15.46
002538,司尔特,-1.43,20.29,4.61,3.38,20.83,4.62
002191,劲嘉股份,8.08,20.28,38.03,32.29,7.69,38.89
601838,成都银行,15.29,20.26,7.37,10.99,15.38,6.95
603686,龙马环卫,15.29,20.19,76.99,46.88,7.56,75.60
002493,荣盛石化,13.35,20.16,87.18,65.15,-29.17,11.78
600815,厦工股份,-4.64,20.15,46.26,-21.94,-25.00,38.46
601898,中煤能源,44.22,20.10,4.48,2.38,25.00,3.71
002684,猛狮科技,34.68,20.09,-6.34,43.02,277.36,-4.76
300722,新余国科,29.32,20.09,7.37,10.99,0.00,6.95
002508,老板电器,16.89,20.05,26.88,22.85,-8.57,26.86
000969,安泰科技,19.67,20.04,-3.05,5.15,-19.66,0.18
002158,汉钟精机,54.88,20.01,-8.32,26.42,18.10,-8.29
002142,宁波银行,15.29,19.88,17.46,16.21,-6.67,17.05
000429,粤高速A,4.82,19.80,6.82,3.04,14.29,8.61
600998,九州通,18.05,19.79,48.10,40.25,9.09,49.00
002051,中工国际,37.96,19.75,13.04,-3.06,-4.76,15.26
002681,奋达科技,79.80,19.72,115.58,110.34,2.78,115.70
002550,千红制药,38.73,19.70,3.54,2.80,20.00,3.92
600371,万向德农,-3.10,19.62,14.65,9.26,12.07,9.61
300127,银河磁体,19.80,19.59,10.37,8.74,22.22,10.42
600368,五洲交通,-16.95,19.58,7.02,-5.74,26.67,9.85
603757,大元泵业,18.29,19.53,196.39,92.22,-10.20,196.39
603689,皖天然气,8.70,19.53,5.15,2.79,8.33,7.09
300263,隆华节能,19.14,19.53,4.19,9.78,30.70,1.55
300726,宏达电子,32.88,19.52,7.37,10.99,6.97,6.95
002101,广东鸿图,68.29,19.50,109.03,101.14,-31.06,99.32
601128,常熟银行,15.29,19.49,14.02,10.39,21.43,14.20
300373,扬杰科技,31.05,19.24,13.31,19.70,8.33,12.19
603396,金辰股份,30.18,18.84,7.37,10.99,-12.70,6.95
300289,利德曼,51.54,18.82,6.88,3.18,0.00,5.58
603278,大业股份,43.28,18.81,7.37,10.99,-14.29,6.95
002470,金正大,20.31,18.72,24.03,21.26,30.77,5.79
300049,福瑞股份,13.28,18.64,-10.82,-3.44,26.67,-5.07
300168,万达信息,11.81,18.63,21.31,27.30,25.00,20.79
002029,七匹狼,13.90,18.58,5.60,8.27,22.22,5.23
601117,中国化学,41.89,18.32,4.34,3.25,33.33,3.55
002187,广百股份,20.88,18.18,2.34,3.78,14.29,2.93
601669,中国电建,16.42,18.17,38.77,17.54,1.13,26.79
300737,科顺股份,37.68,18.15,7.37,10.99,0.00,6.95
000498,山东路桥,52.18,18.09,17.01,24.22,20.50,16.16
603159,上海亚虹,9.62,18.08,4.22,10.96,25.00,4.22
600169,太原重工,-16.51,18.07,1.23,10.47,200.00,1.29
002782,可立克,36.59,18.00,2.11,9.35,17.83,2.11
002435,长江润发,95.32,17.86,5.65,13.06,14.29,6.30
603991,至正股份,44.19,17.82,8.77,12.28,-10.00,8.77
002254,泰和新材,3.81,17.74,1.57,3.31,20.00,2.03
600697,欧亚集团,18.90,17.67,15.49,21.12,10.34,8.01
600626,申达股份,90.70,17.62,11.97,89.43,-1.48,-0.65
002543,万和电气,49.59,17.61,8.89,27.00,13.79,3.69
601009,南京银行,15.29,17.59,12.08,5.06,-15.00,11.52
002388,新亚制程,-23.84,17.59,108.72,27.57,-12.92,111.51
600528,中铁工业,16.33,17.55,9.48,9.17,-1.33,8.74
002232,启明信息,-15.07,17.55,1.78,-3.03,-6.45,1.16
002468,申通快递,33.48,17.50,24.03,6.71,19.05,23.63
300385,雪浪环境,21.17,17.50,42.99,28.42,37.49,45.35
300189,神农基因,-86.22,17.48,-1.45,-24.29,147.06,-0.87
002866,传艺科技,51.50,17.42,125.77,101.36,-14.29,125.77
601518,吉林高速,-3.30,17.41,7.34,-10.75,0.00,8.99
603501,韦尔股份,105.97,17.40,55.18,99.67,-10.00,53.59
300429,强力新材,24.45,17.40,16.00,19.86,23.92,10.82
603214,爱婴室,13.39,17.38,7.37,10.99,14.29,6.95
300382,斯莱克,153.57,17.32,10.31,21.85,-54.55,10.67
600390,五矿资本,-26.98,17.30,10.65,92.60,-12.50,7.22
300639,凯普生物,23.07,17.30,108.79,105.14,-5.52,96.59
600830,香溢融通,-27.75,17.30,4.27,-4.51,5.71,4.19
600199,金种子酒,-11.64,17.27,0.37,-2.15,16.67,0.33
000598,兴蓉环境,14.53,17.24,12.82,10.16,10.43,8.25
000100,TCL集团,1.02,17.20,21.75,8.59,47.14,31.52
000547,航天发展,24.24,17.16,5.36,10.39,50.00,3.87
