date,code,name,weight
2018-06-29,600585,海螺水泥,0.63
2018-06-29,600588,用友网络,0.22
2018-06-29,600606,绿地控股,0.22
2018-06-29,600637,东方明珠,0.19
2018-06-29,600660,福耀玻璃,0.34
2018-06-29,600663,陆家嘴,0.11
2018-06-29,600674,川投能源,0.18
2018-06-29,600682,南京新百,0.09
2018-06-29,600688,上海石化,0.08
2018-06-29,600690,青岛海尔,0.66
2018-06-29,600703,三安光电,0.44
2018-06-29,600704,物产中大,0.08
2018-06-29,600705,中航资本,0.20
2018-06-29,600739,辽宁成大,0.17
2018-06-29,600741,华域汽车,0.35
2018-06-29,600795,国电电力,0.29
2018-06-29,600804,鹏博士,0.16
2018-06-29,600809,山西汾酒,0.15
2018-06-29,600816,安信信托,0.15
2018-06-29,600820,隧道股份,0.10
2018-06-29,600837,海通证券,0.72
2018-06-29,600867,通化东宝,0.32
2018-06-29,600886,国投电力,0.28
2018-06-29,600887,伊利股份,1.59
2018-06-29,600893,航发动力,0.19
2018-06-29,600900,长江电力,1.00
2018-06-29,600909,华安证券,0.10
2018-06-29,600919,江苏银行,0.42
2018-06-29,600926,杭州银行,0.15
2018-06-29,600958,东方证券,0.31
2018-06-29,600959,江苏有线,0.07
2018-06-29,600977,中国电影,0.11
2018-06-29,600999,招商证券,0.29
2018-06-29,601006,大秦铁路,0.46
2018-06-29,601009,南京银行,0.43
2018-06-29,601012,隆基股份,0.31
2018-06-29,601018,宁波港,0.16
2018-06-29,601021,春秋航空,0.09
2018-06-29,601088,中国神华,0.37
2018-06-29,601099,太平洋,0.15
2018-06-29,601108,财通证券,0.04
2018-06-29,601111,中国国航,0.25
2018-06-29,601117,中国化学,0.12
2018-06-29,601155,新城控股,0.26
2018-06-29,601166,兴业银行,1.68
2018-06-29,601169,北京银行,0.84
2018-06-29,601186,中国铁建,0.37
2018-06-29,601198,东兴证券,0.17
2018-06-29,601211,国泰君安,0.52
2018-06-29,601212,白银有色,0.03
2018-06-29,601216,君正集团,0.11
2018-06-29,601225,陕西煤业,0.31
2018-06-29,601228,广州港,0.10
2018-06-29,601229,上海银行,0.58
2018-06-29,601238,广汽集团,0.07
2018-06-29,601288,农业银行,1.23
2018-06-29,601318,中国平安,5.94
2018-06-29,601328,交通银行,1.48
2018-06-29,601333,广深铁路,0.14
2018-06-29,601336,新华保险,0.34
2018-06-29,601360,三六零,0.11
2018-06-29,601377,兴业证券,0.23
2018-06-29,601390,中国中铁,0.39
2018-06-29,601398,工商银行,1.07
2018-06-29,601555,东吴证券,0.15
2018-06-29,601600,中国铝业,0.24
2018-06-29,601601,中国太保,0.94
2018-06-29,601607,上海医药,0.26
2018-06-29,601611,中国核建,0.06
2018-06-29,601618,中国中冶,0.17
2018-06-29,601628,中国人寿,0.35
2018-06-29,601633,长城汽车,0.11
2018-06-29,601668,中国建筑,1.07
2018-06-29,601669,中国电建,0.23
2018-06-29,601688,华泰证券,0.46
2018-06-29,601718,际华集团,0.07
2018-06-29,601727,上海电气,0.21
2018-06-29,601766,中国中车,0.53
2018-06-29,601788,光大证券,0.20
2018-06-29,601800,中国交建,0.16
2018-06-29,601808,中海油服,0.05
2018-06-29,601818,光大银行,0.55
2018-06-29,601828,美凯龙,0.05
2018-06-29,601838,成都银行,0.03
2018-06-29,601857,中国石油,0.47
2018-06-29,601866,中远海发,0.07
2018-06-29,601877,正泰电器,0.18
2018-06-29,601878,浙商证券,0.03
2018-06-29,601881,中国银河,0.10
2018-06-29,601888,中国国旅,0.59
2018-06-29,601898,中煤能源,0.08
2018-06-29,601899,紫金矿业,0.35
2018-06-29,601901,方正证券,0.26
