code,name,industry,report,profit,operation,growth,debtpaying,cashflow
601228,XD广州港,港口,2.38,3.86,3.83,3.50,3.50,5.00
300435,中泰股份,机械基件,2.38,3.43,3.50,3.67,3.50,4.60
600035,楚天高速,路桥,2.38,4.29,3.50,2.17,3.50,4.40
601005,重庆钢铁,普钢,2.25,4.00,3.83,2.50,3.50,1.00
002061,浙江交科,化工原料,3.75,4.71,3.50,5.83,3.50,4.40
300698,万马科技,通信设备,1.00,1.71,3.50,2.00,3.50,1.00
000761,本钢板材,普钢,2.75,4.29,3.67,3.83,3.50,1.00
002920,德赛西威,汽车配件,2.50,4.57,3.50,2.00,3.50,4.00
603991,至正股份,塑料,2.25,3.29,3.50,3.67,3.50,1.00
002685,华东重机,工程机械,2.38,4.14,3.50,5.83,3.50,4.40
002625,光启技术,汽车配件,1.50,2.71,3.67,1.67,3.50,4.80
600776,XD东方通,通信设备,2.38,2.86,3.50,2.67,3.50,1.00
000628,高新发展,园区开发,2.38,1.71,3.67,2.00,3.50,1.00
002893,华通热力,供气供热,2.75,4.86,3.83,3.67,3.50,1.00
600879,航天电子,航空,2.38,3.71,3.50,3.00,3.50,1.00
603127,昭衍新药,医疗保健,2.38,3.71,3.50,3.17,3.50,4.20
300338,开元股份,电器仪表,2.38,3.43,3.50,4.00,3.50,1.00
002333,罗普斯金,铝,2.12,1.57,3.50,2.17,3.50,3.80
603869,北部湾旅,旅游服务,2.38,2.29,3.50,3.00,3.50,1.00
600346,恒力股份,化纤,3.88,4.71,3.83,6.00,3.50,4.00
002179,中航光电,元器件,2.38,4.71,3.50,3.17,3.50,1.00
600237,铜峰电子,元器件,1.38,2.29,3.50,1.67,3.50,1.00
600018,上港集团,港口,2.38,4.43,3.50,4.00,3.50,4.00
000728,国元证券,证券,1.62,2.86,1.00,2.67,3.50,2.20
600781,辅仁药业,中成药,3.75,5.00,3.50,6.00,3.50,4.00
002542,中化岩土,建筑施工,2.12,3.29,3.50,3.83,3.50,1.00
002126,银轮股份,汽车配件,3.12,4.29,3.50,4.83,3.50,4.00
603998,方盛制药,中成药,2.62,3.57,3.50,3.67,3.50,5.00
600037,歌华有线,影视音像,2.38,3.86,3.67,1.50,3.50,5.00
300436,广生堂,化学制药,2.00,3.86,3.50,1.67,3.50,1.00
601607,上海医药,医药商业,3.00,4.86,3.50,3.50,3.50,4.00
300110,华仁药业,化学制药,1.25,2.57,3.50,3.67,3.50,5.20
002258,利尔化学,农药化肥,3.50,4.57,3.50,5.17,3.50,4.00
300261,雅本化学,农药化肥,2.50,3.57,3.50,5.17,3.50,5.00
002552,*ST宝鼎,机械基件,1.50,3.57,3.50,2.00,3.50,1.00
603333,明星电缆,电气设备,1.00,1.57,3.50,2.33,3.50,1.00
000012,南 玻Ａ,玻璃,2.25,4.00,3.50,2.83,3.50,4.00
600012,XD皖通高,路桥,2.62,4.86,3.50,2.50,3.50,5.40
300008,天海防务,船舶,1.50,2.57,3.50,2.17,3.50,1.00
002775,文科园林,建筑施工,2.38,3.29,3.50,4.83,3.50,1.00
002645,华宏科技,专用机械,3.12,3.86,3.50,4.67,3.50,1.00
